PERMNO,date,TICKER,COMNAM,PRC,CFACPR
11703,19800731,DD,DU PONT E I DE NEMOURS & CO,43.00000,6.322514
11703,19800829,DD,DU PONT E I DE NEMOURS & CO,44.75000,6.322514
11703,19800930,DD,DU PONT E I DE NEMOURS & CO,45.12500,6.322514
11703,19801031,DD,DU PONT E I DE NEMOURS & CO,39.75000,6.322514
11703,19801128,DD,DU PONT E I DE NEMOURS & CO,41.50000,6.322514
11703,19801231,DD,DU PONT E I DE NEMOURS & CO,42.00000,6.322514
11703,19810130,DD,DU PONT E I DE NEMOURS & CO,45.37500,6.322514
11703,19810227,DD,DU PONT E I DE NEMOURS & CO,48.75000,6.322514
11703,19810331,DD,DU PONT E I DE NEMOURS & CO,49.50000,6.322514
11703,19810430,DD,DU PONT E I DE NEMOURS & CO,49.75000,6.322514
11703,19810529,DD,DU PONT E I DE NEMOURS & CO,49.12500,6.322514
11703,19810630,DD,DU PONT E I DE NEMOURS & CO,53.12500,6.322514
11703,19810731,DD,DU PONT E I DE NEMOURS & CO,45.50000,6.322514
11703,19810831,DD,DU PONT E I DE NEMOURS & CO,40.62500,6.322514
11703,19810930,DD,DU PONT E I DE NEMOURS & CO,38.12500,6.322514
11703,19811030,DD,DU PONT E I DE NEMOURS & CO,40.50000,6.322514
11703,19811130,DD,DU PONT E I DE NEMOURS & CO,40.12500,6.322514
11703,19811231,DD,DU PONT E I DE NEMOURS & CO,37.25000,6.322514
11703,19820129,DD,DU PONT E I DE NEMOURS & CO,36.25000,6.322514
11703,19820226,DD,DU PONT E I DE NEMOURS & CO,35.75000,6.322514
11703,19820331,DD,DU PONT E I DE NEMOURS & CO,33.37500,6.322514
11703,19820430,DD,DU PONT E I DE NEMOURS & CO,35.37500,6.322514
11703,19820528,DD,DU PONT E I DE NEMOURS & CO,33.75000,6.322514
11703,19820630,DD,DU PONT E I DE NEMOURS & CO,33.00000,6.322514
11703,19820730,DD,DU PONT E I DE NEMOURS & CO,30.25000,6.322514
11703,19820831,DD,DU PONT E I DE NEMOURS & CO,34.87500,6.322514
11703,19820930,DD,DU PONT E I DE NEMOURS & CO,34.50000,6.322514
11703,19821029,DD,DU PONT E I DE NEMOURS & CO,38.50000,6.322514
11703,19821130,DD,DU PONT E I DE NEMOURS & CO,37.62500,6.322514
11703,19821231,DD,DU PONT E I DE NEMOURS & CO,35.87500,6.322514
11703,19830131,DD,DU PONT E I DE NEMOURS & CO,40.00000,6.322514
11703,19830228,DD,DU PONT E I DE NEMOURS & CO,40.00000,6.322514
11703,19830331,DD,DU PONT E I DE NEMOURS & CO,41.62500,6.322514
11703,19830429,DD,DU PONT E I DE NEMOURS & CO,46.87500,6.322514
11703,19830531,DD,DU PONT E I DE NEMOURS & CO,48.50000,6.322514
11703,19830630,DD,DU PONT E I DE NEMOURS & CO,47.75000,6.322514
11703,19830729,DD,DU PONT E I DE NEMOURS & CO,48.00000,6.322514
11703,19830831,DD,DU PONT E I DE NEMOURS & CO,52.50000,6.322514
11703,19830930,DD,DU PONT E I DE NEMOURS & CO,51.87500,6.322514
11703,19831031,DD,DU PONT E I DE NEMOURS & CO,51.50000,6.322514
11703,19831130,DD,DU PONT E I DE NEMOURS & CO,54.00000,6.322514
11703,19831230,DD,DU PONT E I DE NEMOURS & CO,52.00000,6.322514
